brand,screen_size,harddisk,ram,price
lenovo,15.6,256.0,8.0,799.0
hp,15.6,512.0,16.0,949.31
lenovo,14.0,512.0,16.0,1270.77
acer,15.6,64.0,8.0,345.44
hp,16.0,512.0,16.0,1427.99
acer,14.0,512.0,8.0,668.55
lenovo,14.0,256.0,8.0,883.58
hp,13.5,512.0,16.0,2039.0
msi,17.3,1000.0,32.0,1499.0
gigabyte,17.3,1000.0,16.0,2149.0
msi,15.6,512.0,32.0,1149.99
lg,17.0,1000.0,16.0,1787.62
lg,14.0,512.0,16.0,1299.99
msi,14.0,512.0,32.0,1001.18
dell,15.6,512.0,32.0,602.0
hp,14.0,1000.0,8.0,379.0
apple,15.6,1000.0,64.0,3699.0
dell,15.6,512.0,16.0,1578.21
samsung,11.6,32.0,4.0,209.96
rokc,14.0,1000.0,16.0,409.99
lenovo,16.0,1000.0,32.0,3499.0
acer,17.3,256.0,12.0,478.99
lenovo,14.0,512.0,16.0,589.0
asus,14.5,512.0,8.0,899.99
dell,14.0,1000.0,32.0,1670.17
hp,15.6,256.0,16.0,899.0
hp,11.6,512.0,4.0,240.74
dell,13.4,512.0,16.0,992.99
hp,15.6,512.0,8.0,504.0
dell,14.0,256.0,16.0,1900.08
dell,13.3,512.0,16.0,1125.99
asus,14.0,128.0,4.0,284.92
acer,15.6,512.0,16.0,714.99
hp,11.6,32.0,4.0,270.28
dell,14.0,1000.0,32.0,2167.89
hp,13.5,256.0,16.0,1003.99
asus,14.0,32.0,4.0,212.32
dell,14.0,512.0,16.0,499.99
asus,16.0,1000.0,32.0,2699.0
dell,15.6,1000.0,32.0,1389.84
hp,14.0,64.0,4.0,229.99
lenovo,17.3,1000.0,8.0,1449.99
dell,14.0,256.0,16.0,1377.76
dell,15.6,1000.0,32.0,1948.99
lenovo,14.0,512.0,16.0,699.99
lenovo,13.0,512.0,8.0,806.47
rokc,15.6,128.0,4.0,249.99
samsung,14.0,1000.0,16.0,1409.99
lenovo,15.6,256.0,8.0,1059.0
dell,16.0,2000.0,64.0,1081.5
hp,16.0,1000.0,32.0,3196.99
acer,14.0,512.0,16.0,1079.99
hp,17.3,1000.0,32.0,729.99
dell,14.0,256.0,8.0,219.0
dell,15.6,512.0,32.0,1629.95
lenovo,15.6,512.0,12.0,478.88
lenovo,16.0,512.0,16.0,1370.49
dell,16.0,512.0,32.0,1616.99
dell,15.6,2000.0,64.0,2539.99
dell,14.0,512.0,16.0,1849.99
asus,14.0,64.0,4.0,184.99
asus,15.6,512.0,4.0,235.75
asus,16.0,2000.0,32.0,2899.99
dell,13.0,1000.0,16.0,1150.99
dell,14.0,512.0,16.0,999.99
hp,15.6,512.0,16.0,709.99
acer,14.0,64.0,8.0,489.99
dell,14.0,512.0,16.0,351.98
asus,15.6,256.0,8.0,460.0
lenovo,14.0,256.0,16.0,849.0
toughbook,10.1,256.0,8.0,999.99
hp,14.0,256.0,16.0,1384.99
dell,13.4,512.0,16.0,1041.99
lenovo,15.6,512.0,16.0,1698.49
lenovo,16.0,512.0,16.0,1449.99
dell,14.0,512.0,16.0,425.0
dell,15.6,2000.0,64.0,1247.21
asus,16.0,1000.0,16.0,899.99
dell,15.6,512.0,8.0,980.0
hp,14.0,512.0,8.0,332.88
lg,17.0,2000.0,16.0,1782.96
lenovo,11.6,512.0,4.0,195.99
lenovo,14.0,1000.0,16.0,1356.0
asus,17.3,512.0,16.0,1799.0
lenovo,12.3,512.0,16.0,869.99
acer,15.6,512.0,16.0,630.15
apple,13.6,512.0,16.0,1588.42
lenovo,11.6,32.0,4.0,203.77
lenovo,14.0,512.0,8.0,909.99
acer,11.6,32.0,32.0,204.95
dell,13.3,1024.0,16.0,1163.21
dell,15.6,256.0,8.0,901.85
lenovo,14.0,64.0,4.0,177.0
hp,15.6,512.0,16.0,2499.0
hp,11.6,16.0,4.0,75.0
acer,14.0,64.0,8.0,432.7
dell,13.4,1000.0,32.0,1501.49
hp,15.6,128.0,8.0,316.99
samsung,15.6,512.0,16.0,1320.86
dell,17.3,512.0,32.0,3075.33
dell,14.1,300.0,2.0,84.54
acer,14.0,512.0,16.0,1049.99
asus,14.0,320.0,4.0,324.37
dell,15.6,1000.0,64.0,2929.35
lenovo,16.0,1000.0,32.0,2251.99
acer,14.0,512.0,16.0,532.49
dell,14.0,128.0,4.0,399.0
lenovo,11.6,32.0,4.0,239.99
dell,15.6,2000.0,8.0,356.99
hp,13.3,256.0,16.0,1863.52
dell,14.0,512.0,16.0,2312.24
lenovo,14.0,512.0,20.0,499.99
dell,14.0,1000.0,32.0,1670.17
toughbook,10.1,128.0,8.0,959.0
dell,14.0,256.0,16.0,876.02
dell,15.6,512.0,16.0,1588.99
lenovo,13.3,256.0,8.0,500.11
lenovo,16.0,2000.0,64.0,2319.0
dell,17.0,512.0,32.0,2701.64
acer,15.6,512.0,4.0,341.45
dell,11.6,512.0,4.0,229.99
acer,15.6,256.0,8.0,528.18
dell,13.3,256.0,8.0,699.99
lenovo,14.0,512.0,8.0,1019.0
acer,14.0,1000.0,16.0,1347.59
asus,13.3,512.0,8.0,1099.0
asus,14.0,512.0,8.0,819.99
lenovo,15.6,512.0,8.0,690.0
dell,15.6,512.0,32.0,1488.95
lg,16.0,512.0,16.0,900.9
hp,14.0,32.0,4.0,297.0
lenovo,14.0,512.0,16.0,1637.24
acer,11.6,512.0,4.0,269.0
dell,14.0,256.0,16.0,917.24
panasonic,14.0,256.0,8.0,700.0
asus,11.6,512.0,4.0,198.0
asus,17.3,1000.0,12.0,519.0
dell,13.3,256.0,8.0,2199.0
hp,15.6,256.0,16.0,939.19
dell,17.0,1000.0,32.0,2949.0
lenovo,14.0,512.0,16.0,1599.0
lenovo,14.0,512.0,32.0,2148.82
msi,15.6,512.0,64.0,1289.99
lenovo,15.6,256.0,4.0,349.99
hp,14.0,1000.0,32.0,599.99
microsoft,13.5,512.0,8.0,449.0
asus,16.0,1000.0,32.0,1445.82
lg,16.0,1000.0,16.0,1546.84
panasonic,13.1,480.0,8.0,552.99
acer,15.6,1000.0,16.0,1249.98
lenovo,15.6,256.0,8.0,369.95
dell,15.6,2000.0,64.0,1125.0
dell,13.0,256.0,8.0,749.99
dell,15.6,256.0,32.0,479.99
asus,16.0,512.0,12.0,629.0
dell,13.3,256.0,8.0,598.99
lenovo,13.3,512.0,16.0,849.0
dell,17.3,512.0,12.0,1486.99
panasonic,13.1,1000.0,16.0,599.99
dell,15.6,1000.0,16.0,1767.99
dell,13.0,1000.0,16.0,899.74
dell,17.0,512.0,32.0,3345.99
lenovo,14.0,512.0,4.0,289.0
dell,14.0,512.0,32.0,1535.99
dell,14.0,1000.0,16.0,1499.99
hp,11.6,512.0,4.0,154.89
asus,17.3,512.0,8.0,743.66
msi,13.4,1000.0,32.0,1599.0
acer,15.6,512.0,8.0,879.99
lenovo,16.0,512.0,16.0,1488.64
dell,15.0,512.0,16.0,986.99
dell,15.6,1000.0,16.0,2499.99
samsung,15.6,512.0,4.0,268.99
acer,14.0,512.0,16.0,1026.99
dell,16.0,1000.0,64.0,3999.99
asus,15.6,1000.0,32.0,2249.0
asus,11.6,32.0,8.0,444.99
panasonic,15.4,480.0,16.0,606.89
asus,15.6,128.0,8.0,370.23
apple,16.0,1000.0,16.0,1419.0
dell,14.0,512.0,16.0,1910.62
lenovo,15.6,512.0,16.0,1169.0
lenovo,14.0,512.0,16.0,711.99
asus,15.6,128.0,4.0,319.0
panasonic,15.4,240.0,8.0,450.0
lenovo,15.6,512.0,16.0,659.99
lenovo,15.6,256.0,12.0,899.99
msi,16.0,1000.0,16.0,1599.0
lenovo,15.6,128.0,4.0,399.99
lg,16.0,512.0,8.0,978.99
dell,15.6,2000.0,32.0,1481.86
dell,14.0,2000.0,64.0,993.23
dell,13.3,256.0,16.0,1499.0
hp,12.5,500.0,8.0,248.98
lenovo,16.0,2000.0,32.0,2119.0
lg,15.0,512.0,8.0,1469.44
dell,15.6,1000.0,32.0,1986.99
msi,15.6,1000.0,16.0,1349.49
dell,14.0,256.0,8.0,726.07
msi,15.6,512.0,16.0,1099.99
hp,14.0,1000.0,8.0,587.99
dell,14.0,320.0,2.0,99.99
hp,14.0,512.0,4.0,207.99
dell,15.6,512.0,16.0,1910.11
hp,15.6,512.0,8.0,479.99
acer,11.6,64.0,4.0,316.39
hp,11.6,32.0,4.0,168.0
lenovo,14.0,512.0,16.0,1209.0
dell,17.0,1000.0,32.0,2999.0
dell,14.0,256.0,16.0,798.0
dell,13.4,1000.0,16.0,1355.84
asus,15.6,256.0,8.0,499.99
toughbook,14.0,512.0,16.0,1195.0
microsoft,15.0,512.0,16.0,1299.0
dell,15.6,1000.0,32.0,1962.99
hp,14.0,320.0,4.0,124.0
panasonic,12.0,512.0,16.0,1773.99
dell,17.3,512.0,64.0,3376.64
dell,17.0,1000.0,32.0,4999.0
msi,14.0,1000.0,16.0,839.99
lenovo,16.0,512.0,16.0,1499.0
acer,11.6,32.0,4.0,334.99
hp,16.0,512.0,16.0,1400.0
dell,16.0,512.0,16.0,1599.99
lenovo,15.6,512.0,16.0,864.14
dell,17.0,2000.0,64.0,3399.99
lenovo,11.6,512.0,8.0,282.67
lenovo,11.6,32.0,4.0,253.46
lenovo,14.0,256.0,16.0,965.99
dell,15.6,1000.0,16.0,1163.99
lenovo,14.0,256.0,16.0,1152.45
lenovo,14.0,256.0,4.0,468.0
asus,17.3,1000.0,16.0,1699.0
lenovo,15.6,1000.0,32.0,1349.99
msi,15.6,1000.0,16.0,1246.47
dell,14.0,512.0,16.0,792.95
hp,17.3,1000.0,16.0,474.98
lenovo,11.6,64.0,4.0,269.99
acer,14.0,512.0,8.0,599.99
msi,15.6,512.0,32.0,1129.99
dell,14.0,256.0,16.0,1359.99
dell,16.0,1000.0,32.0,1374.98
msi,17.3,1000.0,32.0,4499.0
lenovo,15.6,256.0,4.0,360.0
dell,18.0,2000.0,64.0,3416.35
msi,15.6,512.0,32.0,1159.99
dell,13.0,256.0,8.0,749.99
asus,14.0,64.0,4.0,229.99
hp,11.6,32.0,4.0,176.24
lenovo,15.6,256.0,8.0,400.0
toughbook,10.1,256.0,8.0,863.99
lenovo,14.0,2000.0,16.0,1199.0
dell,15.6,1000.0,64.0,2465.99
dell,15.6,2000.0,64.0,971.04
dell,14.0,512.0,32.0,996.99
msi,15.6,2000.0,64.0,1808.99
hp,11.6,32.0,4.0,194.97
dell,13.3,512.0,16.0,1718.99
dell,14.0,512.0,16.0,2643.99
dell,14.0,512.0,16.0,1482.04
dell,17.3,2000.0,16.0,1881.99
asus,11.6,128.0,4.0,462.0
hp,15.6,1000.0,12.0,959.99
dell,13.3,512.0,16.0,1273.99
dell,17.0,4000.0,64.0,3799.0
lenovo,14.0,4000.0,48.0,2179.0
dell,15.6,2000.0,32.0,620.0
dell,15.6,1000.0,16.0,1009.0
dell,13.0,1000.0,16.0,1561.99
dell,14.0,1000.0,12.0,2086.99
dell,15.6,500.0,16.0,268.98
lenovo,14.0,512.0,4.0,310.19
lenovo,16.0,512.0,16.0,1344.99
gigabyte,17.0,1000.0,16.0,1119.99
lenovo,14.0,512.0,16.0,1638.95
apple,13.0,512.0,16.0,1657.99
dell,14.0,512.0,16.0,2150.88
dell,14.0,256.0,8.0,836.16
lenovo,13.3,256.0,8.0,724.0
dell,14.0,256.0,16.0,749.99
dell,15.6,512.0,32.0,953.82
lenovo,14.0,512.0,8.0,899.0
asus,15.6,512.0,8.0,979.0
acer,15.6,512.0,4.0,312.99
lenovo,14.0,512.0,4.0,333.99
hp,15.6,256.0,8.0,378.0
lenovo,13.3,64.0,4.0,399.0
dell,13.3,512.0,16.0,1273.99
dell,14.0,1000.0,32.0,1227.99
asus,14.0,32.0,4.0,199.0
asus,15.6,256.0,8.0,619.71
lenovo,14.0,256.0,16.0,139.98
dell,15.6,512.0,16.0,979.0
hp,15.6,512.0,16.0,930.0
lenovo,15.6,1000.0,32.0,4119.0
dell,13.4,512.0,16.0,1273.99
dell,15.6,512.0,16.0,1723.77
lenovo,14.0,256.0,8.0,653.99
hp,16.0,512.0,32.0,1973.99
dell,17.3,512.0,64.0,3915.99
panasonic,13.1,250.0,4.0,299.95
acer,15.6,512.0,4.0,93.99
dell,15.6,512.0,16.0,1699.0
dell,16.0,1000.0,16.0,854.86
msi,14.0,512.0,16.0,941.05
microsoft,13.5,512.0,8.0,865.0
dell,14.0,512.0,32.0,2192.13
hp,14.0,256.0,8.0,490.77
hp,13.5,512.0,16.0,2333.99
asus,16.0,2000.0,32.0,1704.99
asus,14.0,128.0,4.0,446.98
dell,14.0,256.0,8.0,784.97
dell,15.6,512.0,64.0,2699.0
hp,11.6,512.0,4.0,69.82
dell,13.3,128.0,8.0,1099.95
lenovo,14.0,256.0,16.0,729.99
apple,13.3,256.0,16.0,1499.0
dell,16.0,512.0,32.0,1662.92
lenovo,11.6,128.0,4.0,286.0
dell,15.6,256.0,16.0,1526.31
dell,13.4,512.0,16.0,909.99
microsoft,15.0,256.0,8.0,799.0
asus,15.6,1000.0,16.0,2249.99
dell,16.0,1000.0,40.0,1498.0
lenovo,15.6,128.0,4.0,222.5
apple,15.6,512.0,24.0,1899.0
dell,15.6,512.0,16.0,681.61
dell,15.6,512.0,32.0,1699.95
dell,14.0,512.0,16.0,802.91
apple,16.2,1000.0,32.0,3043.95
dell,17.3,2000.0,64.0,3208.03
dell,15.6,256.0,8.0,760.99
asus,11.6,32.0,2.0,199.99
hp,15.6,1000.0,32.0,849.99
lenovo,15.6,1000.0,20.0,419.0
acer,14.0,512.0,8.0,799.99
dell,11.6,512.0,16.0,1299.95
dell,14.0,512.0,8.0,656.25
acer,11.6,32.0,4.0,219.0
gigabyte,14.0,512.0,16.0,700.43
hp,15.6,2000.0,32.0,298.7
hp,15.6,500.0,8.0,799.81
asus,11.6,32.0,4.0,169.0
dell,15.6,1000.0,32.0,949.0
dell,14.0,256.0,16.0,1875.98
lenovo,16.0,512.0,16.0,2352.59
dell,13.3,512.0,8.0,749.0
dell,15.6,512.0,16.0,1566.99
dell,13.4,2000.0,32.0,1820.99
dell,14.0,512.0,16.0,1077.24
lenovo,16.0,512.0,16.0,1851.99
samsung,11.6,64.0,4.0,249.49
